citymaps/berlin.png
type,radius,x_pos,y_pos,x_vel,y_vel
circle,0.1,1.491,2.064,0.983,0.972
circle,0.1,2.773,2.132,0.981,1.008
circle,0.1,1.628,2.009,1.097,1.052
circle,0.1,2.525,1.849,0.914,0.895
circle,0.1,2.321,1.857,1.088,1.051
circle,0.1,1.992,2.124,1.118,0.988
circle,0.1,1.822,1.984,1.014,0.939
circle,0.1,1.775,1.846,0.978,0.952
circle,0.1,1.901,2.575,1.08,1.06
circle,0.1,2.015,2.185,0.897,0.98
type,radius,x_pos,y_pos,x_vel,y_vel
circle,0.1,0.0,0.0,0.0,0.0
circle,0.1,0.0,0.0,0.0,0.0
